Calculation1,City,County/State/ Territory,Count,gender,School,Pivot Field Values
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Other,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Other,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Other,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Male,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Male,ACADEMY OF THE CANYONS,4
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Male,ACADEMY OF THE CANYONS,19
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Female,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Female,ACADEMY OF THE CANYONS,5
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Female,ACADEMY OF THE CANYONS,22
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,All,ACADEMY OF THE CANYONS,3
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,All,ACADEMY OF THE CANYONS,10
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,All,ACADEMY OF THE CANYONS,46
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Enr,Unknown,ACADEMY OF THE REDWOODS,
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Adm,Unknown,ACADEMY OF THE REDWOODS,
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,App,Unknown,ACADEMY OF THE REDWOODS,
